date,value
20110619,10
20090214,5
20060801,5
20141108,6
20190623,6
20181218,2
20191223,4
20200307,2
20070705,5
20140606,3
20090415,2
20150716,4
20130410,4
20070310,2
20090807,12
20120812,5
20120130,2
20071023,5
20080814,5
20071011,2
20060219,8
20110317,5
20091219,4
20121224,3
20140711,4
20071211,3
20080126,6
20170916,5
20181015,4
20080626,6
20190607,5
20170616,4
20121110,4
20190625,5
20070802,3
20150905,7
20140104,2
20061112,8
20200906,7
20110805,7
20141012,6
20120529,5
20201119,1
20060511,4
20111111,5
20080326,4
20140829,5
20110325,3
20060708,8
20090524,7
20180826,4
20061022,7
20141103,3
20140322,4
20150303,4
20060828,4
20060928,3
20131108,4
20160623,6
20180809,3
20090227,6
20091005,7
20180124,4
20091103,4
20160619,3
20120201,3
20130518,6
20110328,2
20120408,4
20181004,3
20080503,6
20140103,3
20120904,4
20160809,3
20170814,4
20100406,7
20150310,1
20101029,2
20120804,6
20061210,6
20111230,3
20110109,3
20080806,6
20081220,8
20100709,3
20081112,4
20200105,3
20061128,2
20160924,2
20070516,5
20091020,6
20070101,11
20150728,3
20160324,4
20120213,7
20090527,2
20140808,2
20170404,4
20091118,2
20060531,2
20080419,8
20130219,2
20160605,6
20070309,2
20060620,6
20160930,3
20100708,7
20090427,8
20200405,1
20090416,4
20161127,6
20190330,3
20141009,2
20140101,10
20070619,3
20121206,1
20200425,3
20091207,6
20110110,4
20110428,4
20170721,4
20190921,2
20200322,1
20200827,5
20201223,1
20070906,2
20150309,2
20070804,9
20070623,11
20080812,2
20121214,2
20160904,7
20151102,2
20170709,5
20201115,4
20141029,5
20171008,1
20110907,3
20080406,3
20061222,8
20060918,5
20161118,1
20151109,3
20120106,4
20110321,2
20150911,4
20080924,5
20070928,2
20160914,5
20070209,2
20070407,4
20141212,7
20060415,4
20180330,4
20121002,3
20071027,7
20090111,3
20140819,3
20111024,4
20091026,2
20070712,4
20060506,4
20150503,5
20140731,5
20120311,5
20130521,2
20201108,3
20200817,6
20090328,6
20090706,5
20130329,1
20150909,4
20060406,4
20160528,3
20130902,7
20080314,6
20120908,6
20160220,7
20130227,1
20191117,3
20070825,9
20150828,2
20140207,2
20190924,4
20200808,5
20110127,2
20121028,3
20180511,2
20180923,2
20140130,2
20090623,5
20200810,3
20180502,4
20080602,9
20080930,8
20200522,4
20170903,5
20130820,4
20060313,2
20081005,7
20081029,2
20101027,5
20181101,3
20190830,7
20200903,5
20160428,1
20170601,3
20171104,4
20190624,3
20080916,5
20061231,8
20180304,1
20091110,4
20131202,3
20131227,2
20140720,7
20190526,6
20061207,4
20071220,5
20100211,3
20201117,3
20200218,3
20150820,5
20120923,6
20070710,3
20160101,6
20100515,11
20080710,7
20081224,4
20131005,4
20090802,12
20150613,6
20171031,2
20181208,2
20100204,3
20091231,5
20180429,2
20070322,4
20070816,4
20100523,7
20071112,1
20100928,5
20130109,2
20200513,4
20060514,4
20151011,2
20090331,5
20110122,3
20070729,7
20130213,1
20090322,3
20110910,7
20130306,1
20090120,2
20120824,3
20160920,3
20090310,3
20140612,2
20061016,6
20100622,3
20070812,13
20060624,5
20170602,2
20201017,3
20150209,2
20100604,5
20120704,14
20150421,5
20160115,2
20060625,3
20180119,1
20170124,3
20060128,4
20070415,5
20201207,9
20140223,3
20110803,1
20130903,3
20170125,3
20140823,11
20081018,7
20061107,2
20120706,5
20110402,8
20150715,3
20060325,4
20071020,7
20121016,2
20131027,4
20170203,3
20080111,2
20111015,11
20160423,9
20060422,4
20161130,1
20150524,4
20190609,4
20090809,11
20120817,5
20160307,2
20100821,7
20100702,7
20100917,3
20181005,7
20060518,5
20200411,5
20180602,4
20190709,1
20130728,9
20060626,4
20140329,5
20071004,1
20141015,6
20150424,2
20171015,6
20080223,2
20200226,1
20161012,4
20090829,3
20060411,3
20180901,1
20190327,1
20121010,1
20160801,4
20061228,3
20090112,2
20100813,2
20100405,7
20130323,4
20130122,2
20111028,7
20120703,4
20171029,3
20120527,11
20120831,3
20120624,10
20110225,4
20100518,2
20180728,6
20080527,4
20120606,6
20080104,4
20140512,3
20181001,4
20120520,7
20061018,3
20110829,14
20151227,1
20060512,2
20130919,4
20190225,1
20151121,3
20200126,3
20200614,9
20151204,3
20070223,1
20100916,1
20170317,2
20111201,2
20101231,9
20140811,2
20081109,4
20080509,4
20110811,2
20090817,3
20190620,3
20181210,2
20070719,4
20170126,2
20131221,5
20100606,10
20170824,2
